"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3, C4, C7, C8, C9, C10, C11";"C_0805_2012Metric";7;"0.1uF";;;
2;"D1, D2, D3, D4";"D_SOD-123";4;"D_Schottky";;;
3;"FB1, FB2";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"FerriteBead";;;
4;"J1, J2";"USB_C_Receptacle_Amphenol_12401610E4-2A";2;"USB_C_Receptacle_USB2.0_14P";;;
5;"J3, J4";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20_Pin";;;
6;"J6";"RJ45_Amphenol_54602-x08_Horizontal";1;"RJ45";;;
7;"Q1, Q2";"TO-92S";2;"2N3904";;;
8;"R1, R2, R10, R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"5K1";;;
9;"R3, R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10K";;;
10;"R4, R5, R6, R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"12K";;;
11;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.7K";;;
12;"SW1, SW2";"SW_SPST_EVQP2_MiddlePushTravel_H2.5mm";2;"SW_Push";;;
13;"U1";"ESP32-S3-WROOM-2";1;"ESP32-S3-WROOM-2";;;
14;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"U7";"Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering";1;"BME680";;;
16;"U8";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"MPU-9250";;;
17;"U9";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"FT231XQ";;;
