Designator,Footprint,Quantity,Value,LCSC Part #
C1,01005,1,22uF,C105226
"C2, C3, C4",01005,3,0.1uF,C1525
"C5, C6",01005,2,1uF,C52923
D1,0201,1,LED,C2286
J1,USB_C_Receptacle_G-Switch_GT-USB-7025,1,USB_C_Receptacle_USB2.0_14P,C963213
J2,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,Conn_01x08_Socket,C265106
"Q3, Q4",SOT-23,2,MMBT3904,
"R1, R2, R4, R7",0201,4,12K,C25752
R10,0201,1,5K1,C25905
R11,0201,1,5K1,C177348
R12,01005,1,150R,C4109
R3,0201,1,4K1,C4109
"R5, R6",0201,2,10K,C4109
"R8, R9",0201,2,470R,C177340
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,C231329
U1,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,C42417293
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,C2861750
U3,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
