Designator,Mid X,Mid Y,Rotation,Layer
C10,138.635,-130.1,180.0,top
C11,139.565,-129.3,0.0,top
C12,134.71,-104.45,90.0,top
C13,154.91,-129.5,90.0,top
C14,154.11,-129.425,270.0,top
C15,142.31,-127.425,90.0,top
C16,138.71,-131.1,0.0,top
C18,149.66,-125.3,180.0,top
C20,149.71,-126.1,0.0,top
C3,135.51,-104.5,270.0,top
C4,153.435,-131.9,0.0,top
C5,154.86,-135.1,180.0,top
C6,155.785,-131.5,0.0,top
C9,141.51,-127.35,90.0,top
J1,151.56,-139.81,0.0,top
Q1,138.505,-134.235,0.0,top
Q2,138.505,-139.635,180.0,top
R1,149.91,-134.9,180.0,top
R16,153.31,-124.1,270.0,top
R17,154.31,-124.1,270.0,top
R2,153.165,-134.9,0.0,top
R3,135.2,-106.0,270.0,top
R4,141.91,-130.355,270.0,top
R5,137.575,-137.435,270.0,top
R6,138.375,-136.58,90.0,top
R7,140.83,-132.235,0.0,top
R8,143.855,-134.5,180.0,top
R9,151.99,-123.5,0.0,top
SW1,145.21,-128.5,90.0,top
SW2,145.21,-132.3,270.0,top
U1,145.635,-109.1,0.0,top
U2,155.6225,-133.45,0.0,top
U8,139.01,-126.5,0.0,top
U9,151.11,-129.1625,90.0,top
